,Province/State,Country/Region,Lat,Long,Date,Min Temp (F),Max Temp (F),Wind Speed (Miles),Humidity,Pressure,Precip (Inches),Weather Code
0,,Thailand,15.0,101.0,2020-03-23,79.0,99.0,8.0,33.0,1010.0,0.0,116.0
1,,Japan,36.0,138.0,2020-03-23,27.0,42.0,7.0,38.0,1012.0,0.0,116.0
2,,Singapore,1.28,103.83,2020-03-23,79.0,86.0,5.0,69.0,1011.0,0.0,176.0
3,,Nepal,28.17,84.25,2020-03-23,54.0,77.0,4.0,44.0,1016.0,0.0,176.0
4,,Malaysia,2.5,112.5,2020-03-23,75.0,86.0,2.0,77.0,1011.0,0.2,356.0
5,British Columbia,Canada,49.28,-123.12,2020-03-23,41.0,47.0,6.0,73.0,1007.0,0.0,353.0
6,New South Wales,Australia,-33.87,151.21,2020-03-23,64.0,67.0,16.0,73.0,1025.0,0.0,353.0
7,Victoria,Australia,-37.81,144.96,2020-03-23,55.0,64.0,9.0,49.0,1027.0,0.0,176.0
8,Queensland,Australia,-28.02,153.4,2020-03-23,71.0,79.0,19.0,71.0,1019.0,0.0,353.0
9,,Cambodia,11.55,104.92,2020-03-23,76.0,100.0,6.0,38.0,1010.0,0.0,116.0
10,,Sri Lanka,7.0,81.0,2020-03-23,57.0,87.0,6.0,30.0,1011.0,0.0,116.0
11,,Germany,51.0,9.0,2020-03-23,25.0,45.0,11.0,30.0,1035.0,0.0,113.0
12,,Finland,64.0,26.0,2020-03-23,25.0,38.0,11.0,63.0,1030.0,0.0,122.0
13,,United Arab Emirates,24.0,54.0,2020-03-23,66.0,76.0,14.0,28.0,1015.0,0.0,113.0
14,,Philippines,13.0,122.0,2020-03-23,77.0,86.0,2.0,69.0,1012.0,0.0,116.0
15,,India,21.0,78.0,2020-03-23,76.0,98.0,7.0,16.0,1011.0,0.0,116.0
16,,Italy,43.0,12.0,2020-03-23,28.0,41.0,22.0,49.0,1024.0,0.0,113.0
17,,Sweden,63.0,16.0,2020-03-23,21.0,36.0,9.0,85.0,1025.0,0.0,122.0
18,,Spain,40.0,-4.0,2020-03-23,46.0,60.0,14.0,71.0,1014.0,0.0,389.0
19,South Australia,Australia,-34.93,138.6,2020-03-23,50.0,69.0,5.0,27.0,1027.0,0.0,116.0
20,,Belgium,50.83,4.0,2020-03-23,31.0,52.0,14.0,37.0,1030.0,0.0,113.0
21,,Egypt,26.0,30.0,2020-03-23,59.0,96.0,15.0,9.0,1011.0,0.0,116.0
22,From Diamond Princess,Australia,35.44,139.64,2020-03-23,37.0,53.0,12.0,59.0,1010.0,0.0,266.0
23,,Lebanon,33.85,35.86,2020-03-23,37.0,54.0,6.0,32.0,1014.0,0.0,116.0
24,,Iraq,33.0,44.0,2020-03-23,58.0,73.0,14.0,33.0,1014.0,0.0,116.0
25,,Oman,21.0,57.0,2020-03-23,70.0,83.0,20.0,22.0,1013.0,0.0,116.0
26,,Afghanistan,33.0,65.0,2020-03-23,41.0,60.0,8.0,70.0,1013.0,0.1,299.0
27,,Bahrain,26.03,50.55,2020-03-23,58.0,67.0,18.0,49.0,1015.0,0.0,113.0
28,,Kuwait,29.5,47.75,2020-03-23,56.0,74.0,16.0,33.0,1015.0,0.0,116.0
29,,Algeria,28.03,1.66,2020-03-23,62.0,89.0,13.0,9.0,1006.0,0.0,113.0
30,,Croatia,45.1,15.2,2020-03-23,26.0,37.0,19.0,38.0,1027.0,0.0,119.0
31,,Switzerland,46.82,8.23,2020-03-23,21.0,34.0,4.0,68.0,1025.0,0.0,113.0
32,,Austria,47.52,14.55,2020-03-23,8.0,30.0,8.0,40.0,1032.0,0.0,323.0
33,,Israel,31.0,35.0,2020-03-23,53.0,72.0,10.0,32.0,1013.0,0.0,176.0
34,,Pakistan,30.38,69.35,2020-03-23,51.0,69.0,10.0,52.0,1013.0,0.0,116.0
35,,Brazil,-14.24,-51.93,2020-03-23,71.0,88.0,2.0,75.0,1013.0,0.1,176.0
36,,Georgia,42.32,43.36,2020-03-23,37.0,61.0,4.0,43.0,1016.0,0.0,116.0
37,,Greece,39.07,21.82,2020-03-23,46.0,51.0,3.0,94.0,1013.0,0.3,308.0
38,,North Macedonia,41.61,21.75,2020-03-23,26.0,33.0,14.0,89.0,1019.0,0.1,338.0
39,,Norway,60.47,8.47,2020-03-23,15.0,31.0,8.0,72.0,1031.0,0.0,122.0
40,,Romania,45.94,24.97,2020-03-23,26.0,38.0,18.0,79.0,1025.0,0.0,230.0
41,,Estonia,58.6,25.01,2020-03-23,25.0,38.0,6.0,40.0,1041.0,0.0,116.0
42,,San Marino,43.94,12.46,2020-03-23,40.0,45.0,23.0,49.0,1027.0,0.0,113.0
43,,Belarus,53.71,27.95,2020-03-23,26.0,35.0,10.0,36.0,1039.0,0.0,116.0
44,,Iceland,64.96,-19.02,2020-03-23,17.0,27.0,32.0,88.0,971.0,0.3,230.0
45,,Lithuania,55.17,23.88,2020-03-23,26.0,37.0,6.0,32.0,1042.0,0.0,113.0
46,,Mexico,23.63,-102.55,2020-03-23,58.0,85.0,3.0,24.0,1019.0,0.0,113.0
47,,New Zealand,-40.9,174.89,2020-03-23,60.0,62.0,17.0,79.0,1004.0,0.0,353.0
48,,Nigeria,9.08,8.68,2020-03-23,83.0,101.0,8.0,54.0,1009.0,0.0,353.0
